,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
803,9523,Réparation de chaussures et d'articles en cuir,4,95,2,3,,,803
804,0111Z,"Culture de céréales (sf riz) légumineuses, graines oléagineuses",5,01,1,1,Z,,804
805,2445Z,Métallurgie des autres métaux non ferreux,5,24,4,5,Z,,805
806,478,Commerce de détail sur éventaires et marchés,3,47,8,,,,806
807,0142Z,Élevage d'autres bovins et de buffles,5,01,4,2,Z,,807
808,293,Fabrication d'équipements automobiles,3,29,3,,,,808
809,3600,"Captage, traitement et distribution d'eau",4,36,0,0,,,809
810,6203,Gestion d'installations informatiques,4,62,0,3,,,810
811,4614Z,"Interm. comm. machines, équipts industriels, navires et avions",5,46,1,4,Z,,811
812,2733Z,Fabrication de matériel d'installation électrique,5,27,3,3,Z,,812
813,3102,Fabrication de meubles de cuisine,4,31,0,2,,,813
814,4636,"Commerce de gros de sucre, chocolat et confiserie",4,46,3,6,,,814
815,1062,Fabrication de produits amylacés,4,10,6,2,,,815
816,4531Z,Commerce de gros d'équipements automobiles,5,45,3,1,Z,,816
817,43,Travaux de construction spécialisés,2,43,,,,,817
818,63,Services d'information,2,63,,,,,818
819,0149Z,Élevage d'autres animaux,5,01,4,9,Z,,819
820,5020,Transports maritimes et côtiers de fret,4,50,2,0,,,820
821,702,Conseil de gestion,3,70,2,,,,821
822,2451,Fonderie de fonte,4,24,5,1,,,822
823,4763,Comm. détail enreg. musicaux & vidéo (magasin spécialisé),4,47,6,3,,,823
824,87,Hébergement médico-social et social,2,87,,,,,824
825,1395,"Fabrication de non-tissés, sauf habillement",4,13,9,5,,,825
826,2012Z,Fabrication de colorants et de pigments,5,20,1,2,Z,,826
827,0729Z,Extraction d'autres minerais de métaux non ferreux,5,07,2,9,Z,,827
828,12,Cultures permanentes,2,12,,,,,828
829,1071C,Boulangerie et boulangerie-pâtisserie,5,10,7,1,C,,829
830,2512,Fabrication de portes et fenêtres en métal,4,25,1,2,,,830
831,3314Z,Réparation d'équipements électriques,5,33,1,4,Z,,831
832,5913,Distribution films cinémat. vidéo & programmes de télévision,4,59,1,3,,,832
833,107,Fabrication produits boulangerie-pâtisserie & pâtes alimentaires,3,10,7,,,,833
834,1011Z,Transformation et conservation de la viande de boucherie,5,10,1,1,Z,,834
835,8423Z,Justice,5,84,2,3,Z,,835
836,2052,Fabrication de colles,4,20,5,2,,,836
837,21,Sylviculture et autres activités forestières,2,21,,,,,837
838,2223Z,Fabrication d'éléments matières plastiques pour la construction,5,22,2,3,Z,,838
839,2454,Fonderie d'autres métaux non ferreux,4,24,5,4,,,839
840,2365,Fabrication d'ouvrages en fibre-ciment,4,23,6,5,,,840
841,7735Z,Location et location-bail de matériels de transport aérien,5,77,3,5,Z,,841
842,233,Fabrication de matériaux de construction en terre cuite,3,23,3,,,,842
843,8790,Autres activités d’hébergement social,4,87,9,0,,,843
844,272,Fabrication de piles et d'accumulateurs électriques,3,27,2,,,,844
845,4211,Construction de routes et autoroutes,4,42,1,1,,,845
846,235,"Fabrication de ciment, chaux et plâtre",3,23,5,,,,846
847,3020,Construction locomotives & autre matériel ferroviaire roulant,4,30,2,0,,,847
848,6619,"Aut. activ. auxil. serv. financ., hors assur. & caisses retraite",4,66,1,9,,,848
849,0146Z,Élevage de porcins,5,01,4,6,Z,,849
850,1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",5,15,1,2,Z,,850
851,4665Z,Commerce de gros de mobilier de bureau,5,46,6,5,Z,,851
852,879,Autres activités d’hébergement social,3,87,9,,,,852
853,8560,Activités de soutien à l'enseignement,4,85,6,0,,,853
854,1086,Fabrication d'aliments homogénéisés et diététiques,4,10,8,6,,,854
855,8220Z,Activités de centres d'appels,5,82,2,0,Z,,855
856,2446,Élaboration et transformation de matières nucléaires,4,24,4,6,,,856
857,7711,Location & location-bail voitures & véhicules automobiles légers,4,77,1,1,,,857
858,2891Z,Fabrication de machines pour la métallurgie,5,28,9,1,Z,,858
859,4730Z,Commerce de détail de carburants en magasin spécialisé,5,47,3,0,Z,,859
860,2611Z,Fabrication de composants électroniques,5,26,1,1,Z,,860
861,7112,Activités d'ingénierie,4,71,1,2,,,861
862,801,Activités de sécurité privée,3,80,1,,,,862
863,6312,Portails Internet,4,63,1,2,,,863
864,5520Z,Hébergement touristique et autre hébergement de courte durée,5,55,2,0,Z,,864
865,1081Z,Fabrication de sucre,5,10,8,1,Z,,865
866,6530Z,Caisses de retraite,5,65,3,0,Z,,866
867,464,Commerce de gros de biens domestiques,3,46,4,,,,867
868,495,Transports par conduites,3,49,5,,,,868
869,8430,Sécurité sociale obligatoire,4,84,3,0,,,869
870,1089Z,Fabrication d'autres produits alimentaires n.c.a.,5,10,8,9,Z,,870
871,862,Activité des médecins et des dentistes,3,86,2,,,,871
872,439,Autres travaux de construction spécialisés,3,43,9,,,,872
873,639,Autres services d'information,3,63,9,,,,873
874,9313,Activités des centres de culture physique,4,93,1,3,,,874
875,2920Z,Fabrication de carrosseries et remorques,5,29,2,0,Z,,875
876,53,Activités de poste et de courrier,2,53,,,,,876
877,9521Z,Réparation de produits électroniques grand public,5,95,2,1,Z,,877
878,5121,Transports aériens de fret,4,51,2,1,,,878
879,2910Z,Construction de véhicules automobiles,5,29,1,0,Z,,879
880,7830Z,Autre mise à disposition de ressources humaines,5,78,3,0,Z,,880
881,9004,Gestion de salles de spectacles,4,90,0,4,,,881
882,2042Z,Fabrication de parfums et de produits pour la toilette,5,20,4,2,Z,,882
883,4665,Commerce de gros de mobilier de bureau,4,46,6,5,,,883
884,473,Commerce de détail de carburants en magasin spécialisé,3,47,3,,,,884
885,4939,Autres transports terrestres de voyageurs n.c.a.,4,49,3,9,,,885
886,8621,Activité des médecins généralistes,4,86,2,1,,,886
887,7311Z,Activités des agences de publicité,5,73,1,1,Z,,887
888,5121Z,Transports aériens de fret,5,51,2,1,Z,,888
889,42,Génie civil,2,42,,,,,889
890,2017,Fabrication de caoutchouc synthétique,4,20,1,7,,,890
891,4743Z,Commerce de détail de matériels audio/vidéo en magasin spécialisé,5,47,4,3,Z,,891
892,4619B,Autres intermédiaires du commerce en produits divers,5,46,1,9,B,,892
893,2013,Fabrication d'autres produits chimiques inorganiques de base,4,20,1,3,,,893
894,1820Z,Reproduction d'enregistrements,5,18,2,0,Z,,894
895,4729Z,Autres commerces de détail alimentaires en magasin spécialisé,5,47,2,9,Z,,895
896,4910,Transport ferroviaire interurbain de voyageurs,4,49,1,0,,,896
897,2053,Fabrication d'huiles essentielles,4,20,5,3,,,897
898,642,Activités des sociétés holding,3,64,2,,,,898
899,8553,Enseignement de la conduite,4,85,5,3,,,899
900,4789,Autres commerces de détail sur éventaires et marchés,4,47,8,9,,,900
901,9104Z,Gest. des jardins botaniques et zoolog. et des réserv. naturelles,5,91,0,4,Z,,901
902,7120A,Contrôle technique automobile,5,71,2,0,A,,902
903,2016,Fabrication de matières plastiques de base,4,20,1,6,,,903
904,1101Z,Production de boissons alcooliques distillées,5,11,0,1,Z,,904
905,4730,Commerce de détail de carburants en magasin spécialisé,4,47,3,0,,,905
906,2612Z,Fabrication de cartes électroniques assemblées,5,26,1,2,Z,,906
907,243,Fabrication autres produits 1ere transformation de l'acier,3,24,3,,,,907
908,5914Z,Projection de films cinématographiques,5,59,1,4,Z,,908
909,6511Z,Assurance vie,5,65,1,1,Z,,909
910,332,Installation de machines et d'équipements industriels,3,33,2,,,,910
911,422,Construction de réseaux et de lignes,3,42,2,,,,911
912,4754Z,Commerce de détail appareils électroménagers (magasin spécialisé),5,47,5,4,Z,,912
913,2620Z,Fabrication d'ordinateurs et d'équipements périphériques,5,26,2,0,Z,,913
914,8423,Justice,4,84,2,3,,,914
915,5229B,Affrètement et organisation des transports,5,52,2,9,B,,915
916,4313,Forages et sondages,4,43,1,3,,,916
917,4663,"Comm de gros de machines pour l'extrac, la constr, le génie civil",4,46,6,3,,,917
918,28,Fabrication de machines et équipements n.c.a.,2,28,,,,,918
919,2446Z,Élaboration et transformation de matières nucléaires,5,24,4,6,Z,,919
920,104,Fabrication d’huiles et graisses végétales et animales,3,10,4,,,,920
921,108,Fabrication d'autres produits alimentaires,3,10,8,,,,921
922,2894,Fabrication de machines pour les industries textiles,4,28,9,4,,,922
923,7990,Autres services de réservation et activités connexes,4,79,9,0,,,923
924,1051,Exploitation de laiteries et fabrication de fromage,4,10,5,1,,,924
925,1610A,"Sciage et rabotage du bois, hors imprégnation",5,16,1,0,A,,925
926,1621,Fabrication de placage et de panneaux de bois,4,16,2,1,,,926
927,3101,Fabrication de meubles de bureau et de magasin,4,31,0,1,,,927
928,2651,"Fabric. instruments & d'appareils mesure, essai & de navigation",4,26,5,1,,,928
929,6520,Réassurance,4,65,2,0,,,929
930,813,Services d'aménagement paysager,3,81,3,,,,930
931,352,Production et distribution de combustibles gazeux,3,35,2,,,,931
932,8891B,Accueil ou accompagnement sans hébergement d’enfants handicapés,5,88,9,1,B,,932
933,8810A,Aide à domicile,5,88,1,0,A,,933
934,5310,Activ. poste dans le cadre d'une obligation de service universel,4,53,1,0,,,934
935,856,Activités de soutien à l'enseignement,3,85,6,,,,935
936,463,Comm. gros produits alimentaires boissons & tabac,3,46,3,,,,936
937,552,Hébergement touristique et autre hébergement de courte durée,3,55,2,,,,937
938,0143Z,Élevage de chevaux et d'autres équidés,5,01,4,3,Z,,938
939,5020Z,Transports maritimes et côtiers de fret,5,50,2,0,Z,,939
940,652,Réassurance,3,65,2,,,,940
941,7430,Traduction et interprétation,4,74,3,0,,,941
942,116,Culture de plantes à fibres,3,11,6,,,,942
943,164,Traitement des semences,3,16,4,,,,943
944,479,"Commerce de détail hors magasin, éventaires ou marchés",3,47,9,,,,944
945,6420,Activités des sociétés holding,4,64,2,0,,,945
946,7721Z,Location et location-bail d'articles de loisirs et de sport,5,77,2,1,Z,,946
947,35,Prod. & distribution électricité gaz vapeur & air conditionné,2,35,,,,,947
948,145,Élevage d'ovins et de caprins,3,14,5,,,,948
949,4391A,Travaux de charpente,5,43,9,1,A,,949
950,7490B,"Activités spécialisées, scientifiques et techniques diverses",5,74,9,0,B,,950
951,1811,Imprimerie de journaux,4,18,1,1,,,951
952,2612,Fabrication de cartes électroniques assemblées,4,26,1,2,,,952
953,259,Fabrication d'autres ouvrages en métaux,3,25,9,,,,953
954,3213,Fabrication articles bijouterie fantaisie & articles similaires,4,32,1,3,,,954
955,3311Z,Réparation d'ouvrages en métaux,5,33,1,1,Z,,955
956,8690C,Centres de collecte et banques d'organes,5,86,9,0,C,,956
957,9321,Activités des parcs d'attractions et parcs à thèmes,4,93,2,1,,,957
958,8710,Hébergement médicalisé,4,87,1,0,,,958
959,4329A,Travaux d'isolation,5,43,2,9,A,,959
960,7732,Location et location-bail machines & équipts pour la construction,4,77,3,2,,,960
961,8110,Activités combinées de soutien lié aux bâtiments,4,81,1,0,,,961
962,7219,Recherche-développement : autres sciences physiques et naturelles,4,72,1,9,,,962
963,2441,Production de métaux précieux,4,24,4,1,,,963
964,4612B,Autres interm. comm. combustibles métaux minéraux prod. chimiques,5,46,1,2,B,,964
965,861,Activités hospitalières,3,86,1,,,,965
966,3812Z,Collecte des déchets dangereux,5,38,1,2,Z,,966
967,9521,Réparation de produits électroniques grand public,4,95,2,1,,,967
968,3315,Réparation et maintenance navale,4,33,1,5,,,968
969,2052Z,Fabrication de colles,5,20,5,2,Z,,969
970,620,Extraction de gaz naturel,3,62,0,,,,970
971,910,"Bibliothèques, archives, musées et autres activités culturelles",3,91,0,,,,971
972,239,Fabric. prod. abrasifs & produits minéraux non métalliques n.c.a.,3,23,9,,,,972
973,7112B,"Ingénierie, études techniques",5,71,1,2,B,,973
974,8551Z,Enseignement de disciplines sportives et d'activités de loisirs,5,85,5,1,Z,,974
975,39,Dépollution et autres services de gestion des déchets,2,39,,,,,975
976,4719B,Autres commerces de détail en magasin non spécialisé,5,47,1,9,B,,976
977,2013A,Enrichissement et retraitement de matières nucléaires,5,20,1,3,A,,977
978,2332,Fabrication briques tuiles & prod. de construction en terre cuite,4,23,3,2,,,978
979,4772A,Commerce de détail de la chaussure,5,47,7,2,A,,979
980,0240Z,Services de soutien à l'exploitation forestière,5,02,4,0,Z,,980
981,4773,Commerce de détail produits pharmaceutiques (magasin spécialisé),4,47,7,3,,,981
982,4690,Commerce de gros non spécialisé,4,46,9,0,,,982
983,2711Z,"Fabrication de moteurs, génératrices, transformateurs électriques",5,27,1,1,Z,,983
984,4763Z,Comm. détail enreg. musicaux & vidéo (magasin spécialisé),5,47,6,3,Z,,984
985,8291Z,Activ. de recouvrement factures & d'info. financ. s/la clientèle,5,82,9,1,Z,,985
986,7120B,"Analyses, essais et inspections techniques",5,71,2,0,B,,986
987,2512Z,Fabrication de portes et fenêtres en métal,5,25,1,2,Z,,987
988,731,Publicité,3,73,1,,,,988
989,3320A,"Installation structures métalliques, chaudronnées et tuyauterie",5,33,2,0,A,,989
990,1012,Transformation et conservation de la viande de volaille,4,10,1,2,,,990
991,710,Extraction de minerais de fer,3,71,0,,,,991
992,5610A,Restauration traditionnelle,5,56,1,0,A,,992
993,881,Action soc. sans héberg. pers. âgées & handicapées,3,88,1,,,,993
994,7734,Location et location-bail de matériels de transport par eau,4,77,3,4,,,994
995,2420Z,"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier",5,24,2,0,Z,,995
996,242,"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier",3,24,2,,,,996
997,301,Construction navale,3,30,1,,,,997
998,4520A,Entretien et réparation de véhicules automobiles légers,5,45,2,0,A,,998
999,128,Culture plantes à épices aromatiques médicinales pharmaceutiques,3,12,8,,,,999
1000,0125Z,Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque,5,01,2,5,Z,,1000
1001,4222Z,Construction de réseaux électriques et de télécommunications,5,42,2,2,Z,,1001
1002,711,Activités d'architecture et d'ingénierie,3,71,1,,,,1002
1003,4932Z,Transports de voyageurs par taxis,5,49,3,2,Z,,1003
1004,6520Z,Réassurance,5,65,2,0,Z,,1004
1005,3291,Fabrication d’articles de brosserie,4,32,9,1,,,1005
1006,7312,Régie publicitaire de médias,4,73,1,2,,,1006
1007,502,Transports maritimes et côtiers de fret,3,50,2,,,,1007
1008,2511Z,Fabrication de structures métalliques et de parties de structures,5,25,1,1,Z,,1008
1009,69,Activités juridiques et comptables,2,69,,,,,1009
1010,6831Z,Agences immobilières,5,68,3,1,Z,,1010
1011,210,Sylviculture et autres activités forestières,3,21,0,,,,1011
1012,147,Élevage de volailles,3,14,7,,,,1012
1013,6419,Autres intermédiations monétaires,4,64,1,9,,,1013
1014,70,Activités des sièges sociaux ; conseil de gestion,2,70,,,,,1014
1015,559,Autres hébergements,3,55,9,,,,1015
1016,5811Z,Édition de livres,5,58,1,1,Z,,1016
1017,1629,"Fabrication objets divers en bois, liège, vannerie et sparterie",4,16,2,9,,,1017
1018,4669,Commerce de gros d'autres machines et équipements,4,46,6,9,,,1018
1019,822,Activités de centres d'appels,3,82,2,,,,1019
1020,4399E,Location avec opérateur de matériel de construction,5,43,9,9,E,,1020
1021,9321Z,Activités des parcs d'attractions et parcs à thèmes,5,93,2,1,Z,,1021
1022,2893Z,Fabrication de machines pour l'industrie agro-alimentaire,5,28,9,3,Z,,1022
1023,692,Activités comptables,3,69,2,,,,1023
1024,1712,Fabrication de papier et de carton,4,17,1,2,,,1024
1025,2811Z,Fabrication moteurs & turbines sf moteurs d'avions & de véhicules,5,28,1,1,Z,,1025
1026,9329,Autres activités récréatives et de loisirs,4,93,2,9,,,1026
1027,4778B,Commerces de détail de charbons et combustibles,5,47,7,8,B,,1027
1028,0892Z,Extraction de tourbe,5,08,9,2,Z,,1028
1029,2550,"Forge, emboutissage, estampage; métallurgie des poudres",4,25,5,0,,,1029
1030,743,Traduction et interprétation,3,74,3,,,,1030
1031,5914,Projection de films cinématographiques,4,59,1,4,,,1031
1032,4329B,Autres travaux d'installation n.c.a.,5,43,2,9,B,,1032
1033,8129B,Autres activités de nettoyage n.c.a.,5,81,2,9,B,,1033
1034,261,Fabrication de composants et cartes électroniques,3,26,1,,,,1034
1035,13,Fabrication de textiles,2,13,,,,,1035
1036,1042,Fabrication de margarine et graisses comestibles similaires,4,10,4,2,,,1036
1037,274,Fabrication d'appareils d'éclairage électrique,3,27,4,,,,1037
1038,4799B,"Vente par automate, aut. com. dét. hors mag., éventaire ou marché",5,47,9,9,B,,1038
1039,4120,Construction de bâtiments résidentiels et non résidentiels,4,41,2,0,,,1039
1040,20,Industrie chimique,2,20,,,,,1040
1041,4724Z,Comm. détail pain pâtisserie & confiserie (magasin spécialisé),5,47,2,4,Z,,1041
1042,2572,Fabrication de serrures et de ferrures,4,25,7,2,,,1042
1043,4762,Commerce de détail de journaux et papeterie en magasin spécialisé,4,47,6,2,,,1043
1044,4779,Commerce de détail de biens d'occasion en magasin,4,47,7,9,,,1044
1045,2211,Fabrication et rechapage de pneumatiques,4,22,1,1,,,1045
1046,1032,Préparation de jus de fruits et légumes,4,10,3,2,,,1046
1047,4711A,Commerce de détail de produits surgelés,5,47,1,1,A,,1047
1048,7712,Location et location-bail de camions,4,77,1,2,,,1048
1049,2680Z,Fabrication de supports magnétiques et optiques,5,26,8,0,Z,,1049
1050,241,Sidérurgie,3,24,1,,,,1050
1051,283,Fabrication de machines agricoles et forestières,3,28,3,,,,1051
1052,1310Z,Préparation de fibres textiles et filature,5,13,1,0,Z,,1052
1053,5913A,Distribution de films cinématographiques,5,59,1,3,A,,1053
1054,7820Z,Activités des agences de travail temporaire,5,78,2,0,Z,,1054
1055,97,Activ. ménages : employeurs de personnel domestique,2,97,,,,,1055
1056,8122,Autres activités nettoyage des bâtiments et nettoyage industriel,4,81,2,2,,,1056
1057,1721,Fabrication papier & carton ondulés & emballages papier ou carton,4,17,2,1,,,1057
1058,2012,Fabrication de colorants et de pigments,4,20,1,2,,,1058
1059,5911C,Production de films pour le cinéma,5,59,1,1,C,,1059
1060,8810,Action soc. sans héberg. pers. âgées & handicapées,4,88,1,0,,,1060
1061,8510,Enseignement pré-primaire,4,85,1,0,,,1061
1062,4771,Commerce de détail d'habillement en magasin spécialisé,4,47,7,1,,,1062
1063,15,Culture et élevage associés,2,15,,,,,1063
1064,476,Comm. détail biens culturels & loisirs (magasin spécialisé),3,47,6,,,,1064
1065,492,Transports ferroviaires de fret,3,49,2,,,,1065
1066,109,Fabrication d'aliments pour animaux,3,10,9,,,,1066
1067,143,Élevage de chevaux et d'autres équidés,3,14,3,,,,1067
1068,643,Fonds de placement et entités financières similaires,3,64,3,,,,1068
1069,4618Z,Interm. spécialisés commerce d'autres produits spécifiques,5,46,1,8,Z,,1069
1070,47,"Comm. détail, sf automobiles et motocycles",2,47,,,,,1070
1071,8623Z,Pratique dentaire,5,86,2,3,Z,,1071
1072,4764,Commerce de détail d'articles de sport en magasin spécialisé,4,47,6,4,,,1072
1073,981,Activ. indifférenciées ménages : produc. biens (usage propre),3,98,1,,,,1073
1074,102,"Transform. & conserv. poisson, crustacés & mollusques",3,10,2,,,,1074
1075,2899B,Fabrication d'autres machines spécialisées,5,28,9,9,B,,1075
1076,8030Z,Activités d'enquête,5,80,3,0,Z,,1076
1077,811,Activités combinées de soutien lié aux bâtiments,3,81,1,,,,1077
1078,1330,Ennoblissement textile,4,13,3,0,,,1078
1079,9604Z,Entretien corporel,5,96,0,4,Z,,1079
1080,2332Z,Fabrication briques tuiles & prod. de construction en terre cuite,5,23,3,2,Z,,1080
1081,1920Z,Raffinage du pétrole,5,19,2,0,Z,,1081
1082,8552Z,Enseignement culturel,5,85,5,2,Z,,1082
1083,4722Z,Comm. détail viandes & produits à base de viande (magas. spéc.),5,47,2,2,Z,,1083
1084,95,Réparation d'ordinateurs et de biens personnels et domestiques,2,95,,,,,1084
1085,4612,Interm. comm. combustibles métaux minéraux & produits chimiques,4,46,1,2,,,1085
1086,4532Z,Commerce de détail d'équipements automobiles,5,45,3,2,Z,,1086
1087,771,Location et location-bail de véhicules automobiles,3,77,1,,,,1087
1088,9102,Gestion des musées,4,91,0,2,,,1088
1089,0126Z,Culture de fruits oléagineux,5,01,2,6,Z,,1089
1090,8532Z,Enseignement secondaire technique ou professionnel,5,85,3,2,Z,,1090
1091,9312Z,Activités de clubs de sports,5,93,1,2,Z,,1091
1092,1041B,Fabrication d'huiles et graisses raffinées,5,10,4,1,B,,1092
1093,0115Z,Culture du tabac,5,01,1,5,Z,,1093
1094,6820,Location et exploitation de biens immobiliers propres ou loués,4,68,2,0,,,1094
1095,244,Production de métaux précieux et d'autres métaux non ferreux,3,24,4,,,,1095
1096,2910,Construction de véhicules automobiles,4,29,1,0,,,1096
1097,7312Z,Régie publicitaire de médias,5,73,1,2,Z,,1097
1098,90,"Activités créatives, artistiques et de spectacle",2,90,,,,,1098
1099,4751,Commerce de détail de textiles en magasin spécialisé,4,47,5,1,,,1099
1100,4616Z,"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir",5,46,1,6,Z,,1100
1101,2711,"Fabrication de moteurs, génératrices, transformateurs électriques",4,27,1,1,,,1101
1102,4311,Travaux de démolition,4,43,1,1,,,1102
1103,8424Z,Activités d’ordre public et de sécurité,5,84,2,4,Z,,1103
1104,1051C,Fabrication de fromage,5,10,5,1,C,,1104
1105,2369,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre",4,23,6,9,,,1105
1106,271,"Fab. moteurs générat. transfo. élec., mat. distrib. & cde électr.",3,27,1,,,,1106
1107,2899,Fabrication d'autres machines d'usage spécifique n.c.a.,4,28,9,9,,,1107
1108,3514Z,Commerce d'électricité,5,35,1,4,Z,,1108
1109,649,"Autres activ. serv. financiers, hors assurance & caisses retraite",3,64,9,,,,1109
1110,0620Z,Extraction de gaz naturel,5,06,2,0,Z,,1110
1111,3523,Commerce de combustibles gazeux par conduites,4,35,2,3,,,1111
1112,4211Z,Construction de routes et autoroutes,5,42,1,1,Z,,1112
1113,4120B,Construction d'autres bâtiments,5,41,2,0,B,,1113
1114,1071B,Cuisson de produits de boulangerie,5,10,7,1,B,,1114
1115,181,Imprimerie et services annexes,3,18,1,,,,1115
1116,4329,Autres travaux d'installation,4,43,2,9,,,1116
1117,4332C,Agencement de lieux de vente,5,43,3,2,C,,1117
1118,7729,Location et location-bail autres biens personnels et domestiques,4,77,2,9,,,1118
1119,6411,Activités de banque centrale,4,64,1,1,,,1119
1120,1103,Fabrication de cidre et de vins de fruits,4,11,0,3,,,1120
1121,2311Z,Fabrication de verre plat,5,23,1,1,Z,,1121
1122,3040Z,Construction de véhicules militaires de combat,5,30,4,0,Z,,1122
1123,8531Z,Enseignement secondaire général,5,85,3,1,Z,,1123
1124,132,Tissage,3,13,2,,,,1124
1125,231,Fabrication de verre et d'articles en verre,3,23,1,,,,1125
1126,6512,Autres assurances,4,65,1,2,,,1126
1127,4671,Commerce de gros de combustibles et de produits annexes,4,46,7,1,,,1127
1128,2651B,Fabrication d'instrumentation scientifique et technique,5,26,5,1,B,,1128
1129,2051Z,Fabrication de produits explosifs,5,20,5,1,Z,,1129
1130,2399,Fabrication d'autres produits minéraux non métalliques n.c.a.,4,23,9,9,,,1130
1131,0144Z,Élevage de chameaux et d'autres camélidés,5,01,4,4,Z,,1131
1132,1624Z,Fabrication d'emballages en bois,5,16,2,4,Z,,1132
1133,4312A,Travaux de terrassement courants et travaux préparatoires,5,43,1,2,A,,1133
1134,8430C,Distribution sociale de revenus,5,84,3,0,C,,1134
1135,2041Z,"Fabrication de savons, détergents et produits d'entretien",5,20,4,1,Z,,1135
1136,1013,Préparation de produits à base de viande,4,10,1,3,,,1136
1137,9003B,Autre création artistique,5,90,0,3,B,,1137
1138,4637Z,"Commerce de gros de café, thé, cacao et épices",5,46,3,7,Z,,1138
1139,641,Intermédiation monétaire,3,64,1,,,,1139
1140,471,Commerce de détail en magasin non spécialisé,3,47,1,,,,1140
1141,8220,Activités de centres d'appels,4,82,2,0,,,1141
1142,8810B,Accueil accompagn. sans héberg. adultes handicapés ou pers. âgées,5,88,1,0,B,,1142
1143,4611,"Interm. du comm. en m.p. agricoles & textiles, animaux vivants",4,46,1,1,,,1143
1144,4673,"Comm. gros bois, matériaux de construction & appareils sanitaires",4,46,7,3,,,1144
1145,9420,Activités des syndicats de salariés,4,94,2,0,,,1145
1146,701,Activités des sièges sociaux,3,70,1,,,,1146
1147,8430B,Gestion des retraites complémentaires,5,84,3,0,B,,1147
1148,2343Z,Fabrication d'isolateurs et pièces isolantes en céramique,5,23,4,3,Z,,1148
1149,255,"Forge, emboutissage, estampage; métallurgie des poudres",3,25,5,,,,1149
1150,601,Édition et diffusion de programmes radio,3,60,1,,,,1150
1151,6130,Télécommunications par satellite,4,61,3,0,,,1151
1152,7500,Activités vétérinaires,4,75,0,0,,,1152
1153,8551,Enseignement de disciplines sportives et d'activités de loisirs,4,85,5,1,,,1153
1154,120,Fabrication de produits à base de tabac,3,12,0,,,,1154
1155,4519,Commerce d'autres véhicules automobiles,4,45,1,9,,,1155
1156,5110Z,Transports aériens de passagers,5,51,1,0,Z,,1156
1157,3811Z,Collecte des déchets non dangereux,5,38,1,1,Z,,1157
1158,4675Z,Commerce de gros de produits chimiques,5,46,7,5,Z,,1158
1159,2443,"Métallurgie du plomb, du zinc ou de l'étain",4,24,4,3,,,1159
1160,791,Activités des agences de voyage et voyagistes,3,79,1,,,,1160
1161,2829B,Fabrication d'autres machines d'usage général,5,28,2,9,B,,1161
1162,467,Autres commerces de gros spécialisés,3,46,7,,,,1162
1163,2640Z,Fabrication de produits électroniques grand public,5,26,4,0,Z,,1163
1164,2821Z,Fabrication de fours et brûleurs,5,28,2,1,Z,,1164
1165,3313,Réparation de matériels électroniques et optiques,4,33,1,3,,,1165
1166,6511,Assurance vie,4,65,1,1,,,1166
1167,9412,Activités des organisations professionnelles,4,94,1,2,,,1167
1168,2811,Fabrication moteurs & turbines sf moteurs d'avions & de véhicules,4,28,1,1,,,1168
1169,4942Z,Services de déménagement,5,49,4,2,Z,,1169
1170,8413,Administration publique (tutelle) des activités économiques,4,84,1,3,,,1170
1171,661,"Activ. auxil. serv. financiers, hors assurance & caisses retraite",3,66,1,,,,1171
1172,2352,Fabrication de chaux et plâtre,4,23,5,2,,,1172
1173,691,Activités juridiques,3,69,1,,,,1173
1174,93,"Activités sportives, récréatives et de loisirs",2,93,,,,,1174
1175,1107B,Production de boissons rafraîchissantes,5,11,0,7,B,,1175
1176,2562,Usinage,4,25,6,2,,,1176
1177,4723Z,Comm. détail poissons crustacés & mollusques (magasin spécialisé),5,47,2,3,Z,,1177
1178,4532,Commerce de détail d'équipements automobiles,4,45,3,2,,,1178
1179,4649,Commerce de gros d'autres biens domestiques,4,46,4,9,,,1179
1180,1721B,Fabrication de cartonnages,5,17,2,1,B,,1180
1181,8412,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.),4,84,1,2,,,1181
1182,4311Z,Travaux de démolition,5,43,1,1,Z,,1182
1183,4751Z,Commerce de détail de textiles en magasin spécialisé,5,47,5,1,Z,,1183
1184,474,Comm. détail équipts de l'information & communic. (magas. spéc.),3,47,4,,,,1184
1185,5223Z,Services auxiliaires des transports aériens,5,52,2,3,Z,,1185
1186,4613,Intermédiaires du commerce en bois et matériaux de construction,4,46,1,3,,,1186
1187,8559A,Formation continue d'adultes,5,85,5,9,A,,1187
1188,4761Z,Commerce de détail de livres en magasin spécialisé,5,47,6,1,Z,,1188
1189,5630Z,Débits de boissons,5,56,3,0,Z,,1189
1190,6202,Conseil informatique,4,62,0,2,,,1190
1191,254,Fabrication d'armes et de munitions,3,25,4,,,,1191
1192,4520,Entretien et réparation de véhicules automobiles,4,45,2,0,,,1192
