,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1526,2611,Fabrication de composants électroniques,4,26,1,1,,,1526
1527,829,Activités de soutien aux entreprises n.c.a.,3,82,9,,,,1527
1528,6820A,Location de logements,5,68,2,0,A,,1528
1529,941,"Activ. organisations économiques, patronales et professionnelles",3,94,1,,,,1529
1530,7311,Activités des agences de publicité,4,73,1,1,,,1530
1531,1032Z,Préparation de jus de fruits et légumes,5,10,3,2,Z,,1531
1532,6203Z,Gestion d'installations informatiques,5,62,0,3,Z,,1532
1533,551,Hôtels et hébergement similaire,3,55,1,,,,1533
1534,8730,Hébergement social pour personnes âgées ou handicapées physiques,4,87,3,0,,,1534
1535,8710B,Hébergement médicalisé pour enfants handicapés,5,87,1,0,B,,1535
1536,9602B,Soins de beauté,5,96,0,2,B,,1536
1537,382,Traitement et élimination des déchets,3,38,2,,,,1537
1538,7711B,Location de longue durée voitures & véhicules automobiles légers,5,77,1,1,B,,1538
1539,2219Z,Fabrication d'autres articles en caoutchouc,5,22,1,9,Z,,1539
1540,2540,Fabrication d'armes et de munitions,4,25,4,0,,,1540
1541,4939B,Autres transports routiers de voyageurs,5,49,3,9,B,,1541
1542,1330Z,Ennoblissement textile,5,13,3,0,Z,,1542
1543,4642,Commerce de gros d'habillement et de chaussures,4,46,4,2,,,1543
1544,3250B,Fabrication de lunettes,5,32,5,0,B,,1544
1545,854,Enseignement supérieur et post-secondaire non supérieur,3,85,4,,,,1545
1546,1621Z,Fabrication de placage et de panneaux de bois,5,16,2,1,Z,,1546
1547,4782Z,Comm. détail textiles habillt & chaussures s/éventaires & marchés,5,47,8,2,Z,,1547
1548,2221,"Fabrication plaques, feuilles, tubes et profilés en plastique",4,22,2,1,,,1548
1549,2311,Fabrication de verre plat,4,23,1,1,,,1549
1550,4651Z,"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels",5,46,5,1,Z,,1550
1551,5911A,Production de films et de programmes pour la télévision,5,59,1,1,A,,1551
1552,4613Z,Intermédiaires du commerce en bois et matériaux de construction,5,46,1,3,Z,,1552
1553,4639B,Commerce de gros alimentaire non spécialisé,5,46,3,9,B,,1553
1554,4299,Construction d'autres ouvrages de génie civil n.c.a.,4,42,9,9,,,1554
1555,1041,Fabrication d'huiles et graisses,4,10,4,1,,,1555
1556,2343,Fabrication d'isolateurs et pièces isolantes en céramique,4,23,4,3,,,1556
1557,869,Autres activités pour la santé humaine,3,86,9,,,,1557
1558,4676Z,Commerce de gros d'autres produits intermédiaires,5,46,7,6,Z,,1558
1559,1712Z,Fabrication de papier et de carton,5,17,1,2,Z,,1559
1560,1811Z,Imprimerie de journaux,5,18,1,1,Z,,1560
1561,6020A,Edition de chaînes généralistes,5,60,2,0,A,,1561
1562,75,Activités vétérinaires,2,75,,,,,1562
1563,8790B,"Hébergement social pour adultes, familles en difficultés et autre",5,87,9,0,B,,1563
1564,1723Z,Fabrication d'articles de papeterie,5,17,2,3,Z,,1564
1565,03,Pêche et aquaculture,2,03,,,,,1565
1566,2030Z,"Fabrication de peintures, vernis, encres et mastics",5,20,3,0,Z,,1566
1567,4753Z,"Comm. détail tapis, moquettes & revêts murs & sols (magas. spéc.)",5,47,5,3,Z,,1567
1568,4649Z,Commerce de gros d'autres biens domestiques,5,46,4,9,Z,,1568
1569,1412,Fabrication de vêtements de travail,4,14,1,2,,,1569
1570,4721,Commerce de détail de fruits et légumes en magasin spécialisé,4,47,2,1,,,1570
1571,6399Z,Autres services d'information n.c.a.,5,63,9,9,Z,,1571
1572,7021Z,Conseil en relations publiques et communication,5,70,2,1,Z,,1572
1573,2365Z,Fabrication d'ouvrages en fibre-ciment,5,23,6,5,Z,,1573
1574,7810,Activités des agences de placement de main-d'oeuvre,4,78,1,0,,,1574
1575,611,Télécommunications filaires,3,61,1,,,,1575
1576,110,Fabrication de boissons,3,11,0,,,,1576
1577,4617A,Centrales d'achat alimentaires,5,46,1,7,A,,1577
1578,4939A,Transports routiers réguliers de voyageurs,5,49,3,9,A,,1578
1579,7022,Conseil pour les affaires et autres conseils de gestion,4,70,2,2,,,1579
1580,5223,Services auxiliaires des transports aériens,4,52,2,3,,,1580
1581,2599B,Fabrication d'autres articles métalliques,5,25,9,9,B,,1581
1582,6120Z,Télécommunications sans fil,5,61,2,0,Z,,1582
1583,4778,Autre commerce de détail de biens neufs en magasin spécialisé,4,47,7,8,,,1583
1584,2229,Fabrication d'autres articles en matières plastiques,4,22,2,9,,,1584
1585,3313Z,Réparation de matériels électroniques et optiques,5,33,1,3,Z,,1585
1586,3521,Production de combustibles gazeux,4,35,2,1,,,1586
1587,4621Z,"Comm. de gros céréales, tabac non manuf. et aliments pour bétail",5,46,2,1,Z,,1587
1588,6010,Édition et diffusion de programmes radio,4,60,1,0,,,1588
1589,2059,Fabrication d'autres produits chimiques n.c.a.,4,20,5,9,,,1589
1590,3317Z,Réparation et maintenance d'autres équipements de transport,5,33,1,7,Z,,1590
1591,4333,Travaux de revêtement des sols et des murs,4,43,3,3,,,1591
